id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
114,Koyambedu - KFC  ,"KFC No:239, Jawaharlal Nehru Salai, Koyambedu, Pin 600107",13.072194,80.202587,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,114,Chennai,Tamil Nadu
116,Phoenix Market City - KFC,"KFC F11 Food Court, Phoenix Market City, Velacherry Main Road, Near Gurunayak College, Pin 600042",12.991511,80.216695,2019-10-11 07:17:00,2020-07-11 18:42:49,,kfc,1,4,116,Chennai,Tamil Nadu
117,Mogappair - KFC ,"KFC No.1/1 C, Kambar Salai, Near Vavin, Opp To Grand Sweets, Pin 600037",13.08478791,80.17001047,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,117,Chennai,Tamil Nadu
118,OMR Road - KFC ,"KFC No: 180 & 181, Raju Nagar, Opp To AKDR Golf Village, Okkiyam, Thoraipakkam, OMR, Pin 600097",12.935219,80.233835,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,118,Chennai,Tamil Nadu
119,Perambur - KFC ,"KFC Perambur, No-10- Peravallur- 70 ft Roads, Periyar Nagar, (Near Sheeba Hospital) Pin 600082",13.1170395,80.2279532,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,119,Chennai,Tamil Nadu
120,Poonamalle - KFC  ,"KFC Plot No: 46, Survey No: 89/2B, 91/1A2 & 92A Madavilagam, Nazareth Pattai, Poonamalle, Next To Motel Highways, Pin 602103",13.0452362,80.07028788,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,120,Chennai,Tamil Nadu
121,Porur - KFC  ,"KFC No: 1/445, Ground Floor, Mount Poonamallee Road, Opp.Ramachandra Hospital, Porur, Pin 600116",13.0366827,80.1404269,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,121,Chennai,Tamil Nadu
122,Santhome - KFC  ,"KFC No: 55A, Santhome High Road, Opp Nilgiris, Pin 600024",13.026319,80.275503,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,122,Chennai,Tamil Nadu
123,Selaiyur - KFC  ,"KFC 208A, Velachery Main Road, Camp Road Junction, Selaiyur, Pin 600073",12.9225844,80.143135,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,123,Chennai,Tamil Nadu
124,T Nagar - KFC ,"KFC Ground & 1st Floor, No:18, Thyagaraya Road, T.Nagar, Pin 600017",13.0397672,80.24186886,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,124,Chennai,Tamil Nadu
125,Vellachery - KFC  ,"KFC No: 185, 3rd Cross Street, Tambaram Main Road, Velechery, Pin 600042",12.9724833,80.2192469,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,125,Chennai,Tamil Nadu
126,Vikravandi - KFC ,"KFC Plot No-57, 58, 59, 60, 61 & 62, Sri Karpaga Vinayagar Nagar, Sathanur Village, Chennai-Trichy Highway GST Road, Near GMR Toll Plaza, Pin 605602",12.023255,79.536375,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,126,Chennai,Tamil Nadu
142,Nungambakkam - KFC,"KFC Old No.166, New No.24, Kodambakkam, High Road, Nungambakkam Pin 605602",13.0617902,80.2456182,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,142,Chennai,Tamil Nadu
143,Guduvanchery - KFC,"KFC No.2, 1st Floor, Gst Road, Thailavoram, Guduvanchery, Chengalpet Tk, Kanchipuram Guduvanchery, Pin 605602",12.8330735,80.047734,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,143,Chennai,Tamil Nadu
153,VRC Mall - KFC   ,"FT13 &FT14, Third Floor,VR Chennai, Jawaharlal Nehru Rd, KFC Anna Nagar West, Anna Nagar, Chennai, Pin 600040",13.0844899,80.194923,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,153,Chennai,Tamil Nadu
154,Madipakkam - KFC    ,"KFC Madipakkam, Moovarasapattu Village, Alandur Taluk, Pin 600091",12.967465,80.1891443,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,4,154,Chennai,Tamil Nadu
331,Chennai Central - KFC,"Concourse, Railway station, Chennai Central, Tamil Nadu - 600003",13.0824523,80.2749975,2020-07-02 11:57:00,2020-07-02 11:57:00,,kfc,1,4,331,Chennai,Tamil Nadu
347,Marina Mall - KFC,"KFC, SN C/01 & C/02, 2nd Floor, Marina Mall, Old Mahabalipuram Road, Tiruporur, Egattur, Tamil Nadu - 603103",12.83582,80.229496,2020-07-02 12:47:00,2020-07-02 12:47:00,,kfc,1,4,347,Chennai,Tamil Nadu
